P1,V1,V1min,V1max
39516384.0904,39436203.8154,34515199.4634,39436203.8154
33369974.447,34515199.4634,34515199.4634,39436203.8154
38431307.417,38431307.417,34515199.4634,39436203.8154
42815517.3147,39436203.8154,34515199.4634,39436203.8154
43389512.2896,39436203.8154,34515199.4634,39436203.8154
44358697.8012,39436203.8154,34515199.4634,39436203.8154
39620117.6021,39436203.8154,34515199.4634,39436203.8154
37820166.4106,37820166.4106,34515199.4634,39436203.8154
36216448.2186,36216448.2186,34515199.4634,39436203.8154
30003280.4185,34515199.4634,34515199.4634,39436203.8154
